num_lectures,price,days_since_published,content_duration
31,20,2195,1.5
20,45,2170,1.5
33,0,1731,1.5
11,20,2164,0.7166666666666667
17,25,2697,1.0
34,200,1774,5.5
41,60,1599,1.5
37,40,2051,4.5
48,20,2682,1.0
20,20,1935,1.5
9,0,2006,1.0
63,40,1882,6.5
5,50,1736,1.5
47,195,1914,5.0
16,20,1949,2.0
123,30,1638,16.5
25,30,2415,4.0
42,50,1680,3.0
54,200,1881,3.5
80,45,2442,6.5
9,20,2333,1.0
79,25,2345,5.5
9,45,2188,0.7166666666666667
120,120,1546,9.0
24,0,1975,3.5
39,45,2310,3.0
60,150,1766,9.0
23,55,1626,2.5
29,20,1925,2.0
72,50,1680,8.0
9,0,1537,1.0
10,20,2349,2.0
11,25,2436,1.5
10,0,1652,1.0
48,200,1686,6.0
21,0,1816,1.5
7,200,1630,1.0
33,135,2136,2.5
10,30,2579,1.0
38,20,3134,2.0
65,50,2981,3.0
23,20,2523,2.0
13,30,1736,1.5
23,120,2178,1.0
12,50,1586,1.0
26,0,1700,3.0
15,20,2199,1.5
42,200,1602,7.0
12,95,2134,0.5333333333333333
7,100,1541,1.5
19,55,1729,1.5
458,40,2246,22.5
24,0,1696,2.0
34,50,2843,3.5
7,20,2901,2.5
17,20,2351,0.7333333333333333
35,50,2964,11.5
9,50,1540,2.0
52,200,2229,4.0
13,95,1942,0.6333333333333333
20,80,1632,3.5
50,50,1997,6.0
43,30,1722,9.0
107,50,2346,8.5
18,200,1676,1.5
57,150,2150,5.0
11,0,1599,2.0
27,30,1653,1.5
34,20,2193,5.0
19,20,1567,1.0
14,60,3132,3.0
133,100,1716,9.5
102,50,2394,10.0
40,20,1854,3.5
16,200,1676,2.0
123,200,2011,5.5
15,40,2720,2.0
36,100,1745,1.0
18,175,1631,2.5
17,20,2463,1.0
27,20,1667,3.0
25,0,2586,2.0
52,140,2173,5.0
47,20,2263,5.5
21,200,2316,2.0
82,20,3252,2.5
140,150,1802,15.5
21,20,1846,1.5
18,125,2152,1.5
14,20,1945,1.0
36,75,2247,1.5
30,20,2058,4.5
25,20,1610,2.0
40,50,2258,2.0
124,200,1585,11.5
13,200,2164,1.0
20,0,1829,2.0
23,125,2383,2.0
42,50,2745,7.5
42,200,2484,4.5
15,25,2541,3.5
30,40,1982,3.5
52,30,2218,5.5
21,25,2408,1.5
15,20,2074,1.5
108,140,1669,10.0
11,200,1843,0.5666666666666667
13,20,2038,0.5166666666666666
21,20,2256,4.0
283,195,2155,31.5
26,20,1543,1.0
23,50,2689,3.5
81,150,2254,2.5
18,25,2201,2.0
15,80,1606,1.0
120,50,2455,13.5
5,95,1534,1.0
24,50,1919,2.5
9,20,2586,1.0
55,95,3299,6.0
8,0,2540,1.0
29,40,1879,4.0
50,95,2318,2.0
14,0,1914,1.5
34,90,2218,3.5
14,50,2444,0.7166666666666667
160,150,1903,25.0
18,30,2162,1.5
31,20,2340,0.6666666666666666
138,100,2253,14.5
28,85,2473,3.0
18,50,2649,2.0
11,20,2469,2.0
17,95,2225,1.5
12,25,2150,1.0
20,0,1606,4.0
22,200,1568,2.0
27,75,2964,2.5
19,30,2407,1.0
21,0,1599,2.0
15,20,2431,3.0
13,30,2414,1.0
39,65,2020,3.5
5,0,1926,0.6833333333333333
7,30,1760,1.0
22,50,2047,1.5
113,195,1798,17.5
7,0,1563,1.0
35,40,1800,4.0
76,200,1752,3.5
56,45,1599,10.0
18,150,2038,1.5
31,145,2233,3.0
7,35,1942,0.5833333333333334
25,45,3048,2.0
8,40,2153,0.7166666666666667
25,40,1890,1.0
28,125,2710,5.0
15,40,2185,1.5
15,95,1659,0.5333333333333333
19,195,2281,2.5
27,45,2269,3.5
33,200,2108,2.0
38,20,2057,2.5
32,50,1987,5.5
62,150,1697,11.0
30,0,1807,2.0
7,30,2172,0.6166666666666667
25,50,1631,3.5
24,20,2341,2.0
145,50,2736,7.5
11,20,1630,1.0
7,25,1761,0.5833333333333334
150,90,1605,3.5
8,30,1815,0.6333333333333333
12,20,1666,1.0
75,50,1975,4.5
13,20,2230,2.0
6,50,1536,2.0
73,30,1683,5.5
21,125,1558,1.5
35,40,2038,3.0
51,195,2278,4.5
19,30,2052,1.5
17,20,1972,0.7166666666666667
10,20,2551,1.0
79,95,2170,3.0
13,25,2906,1.5
8,0,1751,0.55
14,150,2003,0.55
15,200,1854,1.0
12,200,1773,0.5333333333333333
26,195,1921,1.0
18,50,1754,2.0
15,200,1578,1.0
22,30,2044,2.0
38,20,2005,2.0
19,20,2356,2.0
23,50,1827,1.5
38,50,2012,4.0
6,0,2267,0.6166666666666667
28,20,1920,1.5
59,95,1720,5.0
6,20,1962,1.0
77,145,2913,8.0
29,125,1731,3.0
25,95,1989,0.6666666666666666
26,50,1995,1.0
62,195,2118,7.5
26,40,1816,4.0
59,55,1644,3.5
18,100,1551,1.0
527,190,2460,71.5
8,20,2249,1.0
35,20,2100,2.5
14,100,1864,1.0
19,40,1982,2.0
64,20,1660,3.0
15,20,2235,1.0
6,40,1540,0.5333333333333333
74,50,1681,9.5
6,0,2124,0.7333333333333333
16,40,1824,1.0
38,95,3097,5.5
77,95,2519,3.0
6,20,2110,0.4666666666666667
77,50,1771,1.5
66,195,1816,11.0
23,95,1962,1.5
9,30,1800,1.0
52,140,1748,2.5
14,20,2465,1.0
21,35,1988,0.7166666666666667
77,195,1682,5.5
13,0,2779,3.0
62,25,1997,4.5
76,200,2320,6.0
6,20,2145,1.0
23,40,1982,3.5
22,25,2766,1.0
15,100,1854,1.5
18,40,1905,1.5
27,175,1535,1.0
12,20,1598,1.0
19,25,2069,1.0
13,70,1546,1.5
19,0,1661,2.0
6,0,2854,1.5
18,95,1586,2.5
13,0,1948,1.5
25,20,1974,2.0
13,40,1607,1.0
37,45,1847,3.0
6,200,1546,0.5666666666666667
45,0,2482,4.5
25,115,1780,2.5
59,100,1879,5.0
60,90,2516,5.5
28,150,2053,2.0
12,150,1631,1.0
11,20,2892,1.0
30,40,2137,1.0
171,200,1707,13.0
20,20,2118,2.0
31,40,2163,5.0
9,20,2384,1.0
12,20,2034,1.0
18,20,1542,1.0
93,50,2180,12.0
43,35,2379,5.0
17,100,2975,1.0
353,200,1599,42.0
44,150,2108,5.0
12,0,2782,2.5
20,0,2008,1.0
106,50,2346,6.0
28,95,1980,1.0
24,75,1550,1.5
20,60,3135,3.0
60,25,2148,6.5
24,45,1875,4.5
25,20,1939,3.0
106,80,1666,5.0
82,165,2331,6.5
9,40,2348,1.0
10,40,1982,2.5
60,200,1961,4.0
53,100,2135,4.0
22,40,1886,1.5
20,50,2346,2.0
40,120,2130,5.5
18,65,2061,2.0
5,20,1599,0.6833333333333333
16,25,2909,1.5
24,75,3178,4.0
10,45,1671,1.0
32,75,1668,0.6166666666666667
90,20,2038,5.0
25,0,2053,4.0
5,50,2421,1.0
21,50,2746,4.0
35,25,2407,2.5
32,20,2239,3.5
9,20,2680,0.7166666666666667
27,50,1988,3.5
18,195,1785,1.0
5,0,2647,2.0
18,0,2715,1.0
57,150,1682,3.0
19,95,2053,2.5
